"LAX","AF ","AF34  ","11/13/2017","11/08/2017","11/14/2017","61","FS"
"LAX","PF ","PAF34 ","11/13/2017","11/08/2017","11/14/2017","61","RQ"
"LAX","AF ","AF34  ","11/13/2017","11/15/2017","11/21/2017","61","FS"
"LAX","PF ","PAF34 ","11/13/2017","11/15/2017","11/21/2017","61","RQ"
"LAX","AF ","AF34  ","11/13/2017","11/22/2017","11/28/2017","61","RQ"
"LAX","PF ","PAF34 ","11/13/2017","11/22/2017","11/28/2017","61","RQ"
"LAX","AF ","AF34  ","11/13/2017","11/29/2017","12/05/2017","61","FS"
"LAX","PF ","PAF34 ","11/13/2017","11/29/2017","12/05/2017","61","RQ"
"LAX","AF ","AF34  ","11/13/2017","12/06/2017","12/12/2017","61","FS"
"LAX","PF ","PAF34 ","11/13/2017","12/06/2017","12/12/2017","61","RQ"
"LAX","AF ","AF34  ","11/13/2017","12/13/2017","12/19/2017","61","FS"
"LAX","PF ","PAF34 ","11/13/2017","12/13/2017","12/19/2017","61","RQ"
"LAX","AF ","AF34  ","11/13/2017","12/20/2017","12/26/2017","61","FS"
"LAX","PF ","PAF34 ","11/13/2017","12/20/2017","12/26/2017","61","RQ"
"LAX","FS ","FS31  ","11/13/2017","11/08/2017","11/14/2017","32","FS"
"LAX","PM ","PFS31 ","11/13/2017","11/08/2017","11/14/2017","32","RQ"
"LAX","FS ","FS31  ","11/13/2017","11/15/2017","11/21/2017","32","FS"
"LAX","PM ","PFS31 ","11/13/2017","11/15/2017","11/21/2017","32","RQ"
"LAX","FS ","FS31  ","11/13/2017","11/22/2017","11/28/2017","32","FS"
"LAX","PM ","PFS31 ","11/13/2017","11/22/2017","11/28/2017","32","RQ"
"LAX","FS ","FS31  ","11/13/2017","11/29/2017","12/05/2017","32","FS"
"LAX","PM ","PFS31 ","11/13/2017","11/29/2017","12/05/2017","32","RQ"
"LAX","FS ","FS31  ","11/13/2017","12/06/2017","12/12/2017","32","FS"
"LAX","PM ","PFS31 ","11/13/2017","12/06/2017","12/12/2017","32","RQ"
"LAX","FS ","FS31  ","11/13/2017","12/13/2017","12/19/2017","32","FS"
"LAX","PM ","PFS31 ","11/13/2017","12/13/2017","12/19/2017","32","RQ"
"LAX","FS ","FS31  ","11/13/2017","12/20/2017","12/26/2017","32","FS"
"LAX","PM ","PFS31 ","11/13/2017","12/20/2017","12/26/2017","32","RQ"
"LAX","T  ","C28   ","11/13/2017","11/08/2017","11/14/2017","18","FS"
"LAX","PT ","PC28  ","11/13/2017","11/08/2017","11/14/2017","18","RQ"
"LAX","T  ","C28   ","11/13/2017","11/15/2017","11/21/2017","18","FS"
"LAX","PT ","PC28  ","11/13/2017","11/15/2017","11/21/2017","18","RQ"
"LAX","T  ","C28   ","11/13/2017","11/22/2017","11/28/2017","18","FS"
"LAX","PT ","PC28  ","11/13/2017","11/22/2017","11/28/2017","18","RQ"
"LAX","T  ","C28   ","11/13/2017","11/29/2017","12/05/2017","18","FS"
"LAX","PT ","PC28  ","11/13/2017","11/29/2017","12/05/2017","18","RQ"
"LAX","T  ","C28   ","11/13/2017","12/06/2017","12/12/2017","18","FS"
"LAX","PT ","PC28  ","11/13/2017","12/06/2017","12/12/2017","18","RQ"
"LAX","T  ","C28   ","11/13/2017","12/13/2017","12/19/2017","18","FS"
"LAX","PT ","PC28  ","11/13/2017","12/13/2017","12/19/2017","18","RQ"
"LAX","T  ","C28   ","11/13/2017","12/20/2017","12/26/2017","18","FS"
"LAX","PT ","PC28  ","11/13/2017","12/20/2017","12/26/2017","18","RQ"
"LAX","D  ","C25   ","11/13/2017","11/08/2017","11/14/2017","17","FS"
"LAX","PD ","PC25  ","11/13/2017","11/08/2017","11/14/2017","17","RQ"
"LAX","D  ","C25   ","11/13/2017","11/15/2017","11/21/2017","17","FS"
"LAX","PD ","PC25  ","11/13/2017","11/15/2017","11/21/2017","17","RQ"
"LAX","D  ","C25   ","11/13/2017","11/22/2017","11/28/2017","17","FS"
"LAX","PD ","PC25  ","11/13/2017","11/22/2017","11/28/2017","17","RQ"
"LAX","D  ","C25   ","11/13/2017","11/29/2017","12/05/2017","17","FS"
"LAX","PD ","PC25  ","11/13/2017","11/29/2017","12/05/2017","17","RQ"
"LAX","D  ","C25   ","11/13/2017","12/06/2017","12/12/2017","17","FS"
"LAX","PD ","PC25  ","11/13/2017","12/06/2017","12/12/2017","17","RQ"
"LAX","D  ","C25   ","11/13/2017","12/13/2017","12/19/2017","17","FS"
"LAX","PD ","PC25  ","11/13/2017","12/13/2017","12/19/2017","17","RQ"
"LAX","D  ","C25   ","11/13/2017","12/20/2017","12/26/2017","17","FS"
"LAX","PD ","PC25  ","11/13/2017","12/20/2017","12/26/2017","17","RQ"
"LAX","C  ","C22   ","11/13/2017","11/08/2017","11/14/2017","17","FS"
"LAX","PC ","PC22  ","11/13/2017","11/08/2017","11/14/2017","17","RQ"
"LAX","C  ","C22   ","11/13/2017","11/15/2017","11/21/2017","17","FS"
"LAX","PC ","PC22  ","11/13/2017","11/15/2017","11/21/2017","17","RQ"
"LAX","C  ","C22   ","11/13/2017","11/22/2017","11/28/2017","17","FS"
"LAX","PC ","PC22  ","11/13/2017","11/22/2017","11/28/2017","17","RQ"
"LAX","C  ","C22   ","11/13/2017","11/29/2017","12/05/2017","17","FS"
"LAX","PC ","PC22  ","11/13/2017","11/29/2017","12/05/2017","17","RQ"
"LAX","C  ","C22   ","11/13/2017","12/06/2017","12/12/2017","17","FS"
"LAX","PC ","PC22  ","11/13/2017","12/06/2017","12/12/2017","17","RQ"
"LAX","C  ","C22   ","11/13/2017","12/13/2017","12/19/2017","17","FS"
"LAX","PC ","PC22  ","11/13/2017","12/13/2017","12/19/2017","17","RQ"
"LAX","C  ","C22   ","11/13/2017","12/20/2017","12/26/2017","17","FS"
"LAX","PC ","PC22  ","11/13/2017","12/20/2017","12/26/2017","17","RQ"
"SFO","AF ","AF34  ","11/13/2017","11/08/2017","11/14/2017","61","FS"
"SFO","PF ","PAF34 ","11/13/2017","11/08/2017","11/14/2017","61","RQ"
"SFO","AF ","AF34  ","11/13/2017","11/15/2017","11/21/2017","61","FS"
"SFO","PF ","PAF34 ","11/13/2017","11/15/2017","11/21/2017","61","RQ"
"SFO","AF ","AF34  ","11/13/2017","11/22/2017","11/28/2017","61","FS"
"SFO","PF ","PAF34 ","11/13/2017","11/22/2017","11/28/2017","61","RQ"
"SFO","AF ","AF34  ","11/13/2017","11/29/2017","12/05/2017","61","FS"
"SFO","PF ","PAF34 ","11/13/2017","11/29/2017","12/05/2017","61","RQ"
"SFO","AF ","AF34  ","11/13/2017","12/06/2017","12/12/2017","61","FS"
"SFO","PF ","PAF34 ","11/13/2017","12/06/2017","12/12/2017","61","RQ"
"SFO","AF ","AF34  ","11/13/2017","12/13/2017","12/19/2017","61","FS"
"SFO","PF ","PAF34 ","11/13/2017","12/13/2017","12/19/2017","61","RQ"
"SFO","AF ","AF34  ","11/13/2017","12/20/2017","12/26/2017","61","FS"
"SFO","PF ","PAF34 ","11/13/2017","12/20/2017","12/26/2017","61","RQ"
"SFO","FS ","FS31  ","11/13/2017","11/08/2017","11/14/2017","32","FS"
"SFO","PM ","PFS31 ","11/13/2017","11/08/2017","11/14/2017","32","RQ"
"SFO","FS ","FS31  ","11/13/2017","11/15/2017","11/21/2017","32","FS"
"SFO","PM ","PFS31 ","11/13/2017","11/15/2017","11/21/2017","32","RQ"
"SFO","FS ","FS31  ","11/13/2017","11/22/2017","11/28/2017","32","FS"
"SFO","PM ","PFS31 ","11/13/2017","11/22/2017","11/28/2017","32","RQ"
"SFO","FS ","FS31  ","11/13/2017","11/29/2017","12/05/2017","32","FS"
"SFO","PM ","PFS31 ","11/13/2017","11/29/2017","12/05/2017","32","RQ"
"SFO","FS ","FS31  ","11/13/2017","12/06/2017","12/12/2017","32","FS"
"SFO","PM ","PFS31 ","11/13/2017","12/06/2017","12/12/2017","32","RQ"
"SFO","FS ","FS31  ","11/13/2017","12/13/2017","12/19/2017","32","FS"
"SFO","PM ","PFS31 ","11/13/2017","12/13/2017","12/19/2017","32","RQ"
"SFO","FS ","FS31  ","11/13/2017","12/20/2017","12/26/2017","32","FS"
"SFO","PM ","PFS31 ","11/13/2017","12/20/2017","12/26/2017","32","RQ"
"SFO","T  ","C28   ","11/13/2017","11/08/2017","11/14/2017","18","FS"
"SFO","PT ","PC28  ","11/13/2017","11/08/2017","11/14/2017","18","RQ"
